rid,race_name,country_code,race_conditions,performance_metric
1,Race_1,US,good,0.1
2,Race_2,UK,firm,0.2
3,Race_3,FR,soft,0.3
4,Race_4,AU,heavy,0.4
5,Race_5,US,good,0.5
6,Race_6,UK,firm,0.6
7,Race_7,FR,soft,0.7
8,Race_8,AU,heavy,0.8
9,Race_9,US,good,0.9
10,Race_10,UK,firm,1.0
11,Race_11,FR,soft,1.1
12,Race_12,AU,heavy,1.2
13,Race_13,US,good,1.3
14,Race_14,UK,firm,1.4
15,Race_15,FR,soft,1.5
16,Race_16,AU,heavy,1.6
17,Race_17,US,good,1.7
18,Race_18,UK,firm,1.8
19,Race_19,FR,soft,1.9
20,Race_20,AU,heavy,2.0
21,Race_21,US,good,2.1
22,Race_22,UK,firm,2.2
23,Race_23,FR,soft,2.3
24,Race_24,AU,heavy,2.4
25,Race_25,US,good,2.5
26,Race_26,UK,firm,2.6
27,Race_27,FR,soft,2.7
28,Race_28,AU,heavy,2.8
29,Race_29,US,good,2.9
30,Race_30,UK,firm,3.0
31,Race_31,FR,soft,3.1
32,Race_32,AU,heavy,3.2
33,Race_33,US,good,3.3
34,Race_34,UK,firm,3.4
35,Race_35,FR,soft,3.5
36,Race_36,AU,heavy,3.6
37,Race_37,US,good,3.7
38,Race_38,UK,firm,3.8
39,Race_39,FR,soft,3.9
40,Race_40,AU,heavy,4.0
41,Race_41,US,good,4.1
42,Race_42,UK,firm,4.2
43,Race_43,FR,soft,4.3
44,Race_44,AU,heavy,4.4
45,Race_45,US,good,4.5
46,Race_46,UK,firm,4.6
47,Race_47,FR,soft,4.7
48,Race_48,AU,heavy,4.8
49,Race_49,US,good,4.9
50,Race_50,UK,firm,5.0
51,Race_51,FR,soft,5.1
52,Race_52,AU,heavy,5.2
53,Race_53,US,good,5.3
54,Race_54,UK,firm,5.4
55,Race_55,FR,soft,5.5
56,Race_56,AU,heavy,5.6
57,Race_57,US,good,5.7
58,Race_58,UK,firm,5.8
59,Race_59,FR,soft,5.9
60,Race_60,AU,heavy,6.0
61,Race_61,US,good,6.1
62,Race_62,UK,firm,6.2
63,Race_63,FR,soft,6.3
64,Race_64,AU,heavy,6.4
65,Race_65,US,good,6.5
66,Race_66,UK,firm,6.6
67,Race_67,FR,soft,6.7
68,Race_68,AU,heavy,6.8
69,Race_69,US,good,6.9
70,Race_70,UK,firm,7.0
71,Race_71,FR,soft,7.1
72,Race_72,AU,heavy,7.2
73,Race_73,US,good,7.3
74,Race_74,UK,firm,7.4
75,Race_75,FR,soft,7.5
76,Race_76,AU,heavy,7.6
77,Race_77,US,good,7.7
78,Race_78,UK,firm,7.8
79,Race_79,FR,soft,7.9
80,Race_80,AU,heavy,8.0
81,Race_81,US,good,8.1
82,Race_82,UK,firm,8.2
83,Race_83,FR,soft,8.3
84,Race_84,AU,heavy,8.4
85,Race_85,US,good,8.5
86,Race_86,UK,firm,8.6
87,Race_87,FR,soft,8.7
88,Race_88,AU,heavy,8.8
89,Race_89,US,good,8.9
90,Race_90,UK,firm,9.0
91,Race_91,FR,soft,9.1
92,Race_92,AU,heavy,9.2
93,Race_93,US,good,9.3
94,Race_94,UK,firm,9.4
95,Race_95,FR,soft,9.5
96,Race_96,AU,heavy,9.6
97,Race_97,US,good,9.7
98,Race_98,UK,firm,9.8
99,Race_99,FR,soft,9.9
100,Race_100,AU,heavy,10.0
